Command: /home/jay/Desktop/graduation_project/i2c/./simv -l sim.log
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Jan 23 11:39 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/home/jay/Desktop/graduation_project/i2c/i2c_eeprom_test.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
Time=0 | CMD_VALID=0 | CMD_RW=0 | BUSY=0 | DONE=0 | ADDR=0x000 | WR_DATA=0x00 | RD_DATA=0x00 | SDA=1 | SCL=1
=== I2C EEPROM Multi-Byte Test Started ===
Time: 200000

--- Test 1: Write 0xAA to address 0x000 ---
Time=205000 | CMD_VALID=1 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=215000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=1205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=2205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=3205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=4205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=5205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
Time=6205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=0
Time=7205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=1 | SCL=1
Time=8205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=0
Time=9205000 | CMD_VALID=0 | CMD_RW=0 | BUSY=1 | DONE=0 | ADDR=0x000 | WR_DATA=0xaa | RD_DATA=0x00 | SDA=0 | SCL=1
