Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Feb  9 15:13 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/home/jay/Desktop/graduation_project/rtl/testbench.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
[DBG] cycle=0 pc=0x80000000
[DBG-T] t=11000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=21000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=31000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=41000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=51000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=61000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=71000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=81000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=91000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=101000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=111000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=121000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=131000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=141000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=151000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=161000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=171000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=181000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=191000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=201000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=211000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=221000 rst=0 pc=0xxxxxxxxx
